stake_address,epoch,reward_ada,cumulative_ada,pool_id
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,400,25035,1895252,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,401,37467,1932719,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,402,46138,1978857,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,403,38466,2017323,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,404,36202,2053525,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,405,35448,2088973,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,406,41697,2130670,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,407,39579,2170249,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,408,35740,2205989,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,409,41058,2247047,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,410,45866,2292913,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,411,39932,2332845,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,412,36138,2368983,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,413,44135,2413118,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,414,42249,2455367,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,415,31331,2486698,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,416,30863,2517561,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,417,50016,2567577,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,418,35932,2603509,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,419,43560,2647069,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,420,35920,2682989,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,421,40406,2723395,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,422,35169,2758564,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,423,41025,2799589,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,424,40651,2840240,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,425,37952,2878192,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,426,36254,2914446,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,427,26153,2940599,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,428,28398,2968997,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,429,31568,3000565,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,430,25892,3026457,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,431,33167,3059624,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,432,29772,3089396,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,433,35920,3125316,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,434,27590,3152906,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,435,26156,3179062,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,436,29812,3208874,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,437,25894,3234768,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,438,35274,3270042,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,439,27556,3297598,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,440,27629,3325227,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,441,31415,3356642,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,442,28711,3385353,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,443,30873,3416226,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,444,28041,3444267,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,445,27397,3471664,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,446,30533,3502197,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,447,0,3502197,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,448,0,3502197,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,449,15820,3518017,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,450,23925,3541942,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,451,17677,3559619,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,452,12608,3572227,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,453,12085,3584312,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,456,5932,3590244,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,457,17293,3607537,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,458,17232,3624769,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,459,23089,3647858,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,460,13276,3661134,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,461,20568,3681702,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,462,21518,3703220,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,463,16047,3719267,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
stake1u9f9v0z5zzlldgx58n8tklphu8mf7h4jvp2j2gddluemnssjfnkzz,464,16527,3735794,pool1ases3nklh6gyjf74r7dqm89exjfd520z9cefqru959wcccmrdlk
